uid,sid
1117,0
1117,1
1117,2
1117,3
1117,4
1117,5
1117,6
1117,7
1117,8
1117,9
1117,10
1117,11
1117,12
1117,13
1117,14
1117,15
1117,16
1117,17
1117,18
1117,19
1117,20
1117,21
1117,22
1117,23
1117,24
1117,25
1117,26
1117,27
1117,28
1117,29
1117,30
1117,31
1117,32
1117,33
1117,34
1117,35
1117,36
1117,37
1117,38
1117,39
1117,40
1117,41
1117,42
1117,43
1117,44
1117,45
1117,46
1117,47
1117,48
1117,49
1117,50
1117,51
1117,52
1117,53
1117,54
1117,55
1117,56
1117,57
1117,58
1117,59
1117,60
1117,61
1117,62
1117,63
1117,64
1117,65
1117,66
1117,67
1117,68
1117,69
1117,70
1117,71
1117,72
1117,73
1117,74
1117,75
1117,76
1117,77
1117,78
1117,79
1117,80
1117,81
1117,82
1117,83
1117,84
1117,85
1117,86
1117,87
1117,88
1117,89
1117,90
1117,91
1117,92
1117,93
1117,94
1117,95
1117,96
1117,97
1117,98
1117,99
1117,100
1117,101
1117,102
1117,103
1117,104
1117,105
1117,106
1117,107
1117,108
1117,109
1117,110
1117,111
1117,112
1117,113
1117,114
1117,115
1117,116
1117,117
1117,118
1117,119
1117,120
1117,121
1117,122
1117,123
1117,124
1117,125
1117,126
1117,127
1117,128
1117,129
1117,130
1117,131
1117,132
1117,133
1117,134
1117,135
1117,136
1117,137
1117,138
1117,139
1117,140
1117,141
1117,142
1117,143
1117,144
1117,145
1117,146
1117,147
1117,148
1117,149
1117,150
1117,151
1117,152
1117,153
1117,154
1117,155
1117,156
1117,157
1117,158
1117,159
1117,160
1117,161
1132,162
1132,163
1132,164
1132,165
1132,166
1132,167
1132,168
1132,33
1132,34
1132,169
1132,170
1132,171
1132,172
1132,173
1132,174
1132,175
1132,176
1132,177
1132,178
1132,179
1132,180
1132,181
1132,182
1132,183
1132,184
1132,185
1132,186
1132,187
1132,188
1132,189
1132,190
1132,191
1132,192
1132,193
1132,194
1132,195
1132,196
1132,197
1132,198
1132,199
1132,200
1132,201
1132,202
1132,203
1132,204
1132,205
1132,206
1132,207
1132,208
1132,209
1132,210
1132,211
1132,212
1132,213
1132,214
1132,215
1132,216
844,217
844,218
844,219
844,220
844,221
844,222
844,223
844,224
844,225
844,226
844,227
844,228
844,229
844,230
844,231
844,232
844,233
844,234
844,235
844,236
844,111
844,237
844,238
844,120
844,239
844,240
844,241
844,242
844,243
844,244
844,245
844,246
1860,247
1860,248
1860,249
1860,250
1860,251
1860,252
1860,253
1860,254
1860,227
1860,255
1860,256
1860,257
1860,258
1860,41
1860,259
1860,260
1860,261
1860,262
1860,51
1860,263
1860,264
1860,56
1860,265
1860,266
1860,267
1860,178
1860,268
1860,269
1860,270
1860,271
1860,272
1860,273
1860,274
1860,275
1860,276
1860,277
1860,278
1860,95
1860,279
1860,280
1860,281
1860,282
1860,283
1860,284
1860,285
1860,286
1860,287
1860,288
1860,289
1860,290
1860,291
1860,117
1860,118
1860,292
1860,293
1860,294
1860,295
1860,296
1860,122
1860,297
1860,298
1860,299
1860,300
1860,301
1860,302
1860,303
1860,304
1860,305
1860,306
1860,307
1860,308
1860,309
1860,310
1860,311
1860,312
1860,142
1860,313
1860,147
1860,314
1860,315
1860,316
1860,317
1276,318
1276,319
1276,320
1276,321
1276,322
1276,253
1276,323
1276,324
1276,325
1276,326
1276,327
1276,328
1276,329
1276,330
1276,331
1276,332
1276,333
1276,334
1276,335
1276,336
1276,337
1276,338
1276,339
1276,340
1276,341
1276,342
1276,343
1276,344
1276,345
1276,346
1276,347
1276,348
1276,349
1276,350
1276,351
1276,352
1276,353
1276,354
1276,355
1276,356
1276,145
1276,357
918,358
918,359
918,360
918,178
918,361
918,362
918,363
918,364
918,365
918,366
918,367
918,368
918,369
918,370
918,371
918,372
918,373
918,374
918,375
918,376
2201,250
2201,377
2201,378
2201,379
2201,380
2201,381
2201,382
2201,383
2201,38
2201,384
2201,385
2201,386
2201,387
2201,388
2201,389
2201,390
2201,391
2201,392
2201,393
2201,394
2201,395
2201,396
2201,397
2201,398
2201,399
2201,400
2201,401
2201,87
2201,402
2201,403
2201,342
2201,404
2201,405
2201,406
2201,407
2201,408
2201,409
2201,410
2201,411
2201,412
2201,413
2201,414
2201,415
2201,416
2201,417
2201,418
2201,419
2201,420
2201,421
2201,141
2201,422
2201,423
2201,424
2201,425
2201,426
2201,427
2201,428
2201,429
2201,152
2201,430
2201,431
2201,432
2201,433
2201,434
2201,435
2201,436
2201,437
346,438
346,439
346,440
346,441
346,442
346,443
346,444
346,445
346,37
346,446
346,447
346,448
346,449
346,450
346,391
346,451
346,452
346,453
346,454
346,455
346,456
346,457
346,458
346,459
346,460
346,461
346,311
346,462
346,463
346,464
346,465
346,466
99,467
99,468
99,469
99,326
99,470
99,471
99,472
99,473
99,41
99,474
99,475
99,476
